#TYPE System.Management.Automation.AliasInfo
"HelpUri","ResolvedCommandName","DisplayName","ReferencedCommand","ResolvedCommand","Definition","Options","Description","OutputType","Name","CommandType","Visibility","ModuleName","Module","RemotingCapability","Parameters","ParameterSets"
"http://go.microsoft.com/fwlink/?LinkId=289343",,"Add-ProvisionedAppxPackage",,,,"None","",,"Add-ProvisionedAppxPackage","Alias","Public","Dism","Dism","PowerShell",,
"http://go.microsoft.com/fwlink/?LinkId=289368",,"Apply-WindowsUnattend",,,,"None","",,"Apply-WindowsUnattend","Alias","Public","Dism","Dism","PowerShell",,
"",,"Flush-Volume",,,,"None","",,"Flush-Volume","Alias","Public","Storage","Storage","PowerShell",,
"",,"Get-PhysicalDiskSNV",,,,"None","",,"Get-PhysicalDiskSNV","Alias","Public","Storage","Storage","PowerShell",,
"http://go.microsoft.com/fwlink/?LinkId=289354",,"Get-ProvisionedAppxPackage",,,,"None","",,"Get-ProvisionedAppxPackage","Alias","Public","Dism","Dism","PowerShell",,
"",,"Initialize-Volume",,,,"None","",,"Initialize-Volume","Alias","Public","Storage","Storage","PowerShell",,
"http://go.microsoft.com/fwlink/?LinkID=241967",,"Move-SmbClient",,,,"None","",,"Move-SmbClient","Alias","Public","SmbWitness","SmbWitness","PowerShell",,
"http://go.microsoft.com/fwlink/?LinkId=289361",,"Remove-ProvisionedAppxPackage",,,,"None","",,"Remove-ProvisionedAppxPackage","Alias","Public","Dism","Dism","PowerShell",,
"",,"Write-FileSystemCache",,,,"None","",,"Write-FileSystemCache","Alias","Public","Storage","Storage","PowerShell",,
"",,,,,"Set-Location A:","None",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.Management.Automation.PSTypeName]","A:","Function","Public","",,"PowerShell","System.Collections.Generic.Dictionary`2[System.String,System.Management.Automation.ParameterMetadata]","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Management.Automation.CommandParameterSetInfo]"
"",,,,,"
    param(
    
    ${Credentials},

    ${ForestName},

    [Alias('vb')]
    [switch]
    ${Verbose},

    ${TargetAutodiscoverEpr},

    [Alias('ov')]
    ${OutVariable},

    [Alias('wi')]
    [switch]
    ${WhatIf},

    [Alias('wv')]
    ${WarningVariable},

    [Alias('db')]
    [switch]
    ${Debug},

    [Alias('ea')]
    ${ErrorAction},

    [Alias('cf')]
    [switch]
    ${Confirm},

    [Alias('ev')]
    ${ErrorVariable},

    [Alias('ob')]
    ${OutBuffer},

    [Alias('wa')]
    ${WarningAction},

    ${AccessMethod},

    [switch]
    ${AsJob})

    Begin {
        try {
            $positionalArguments = & $script:NewObject collections.arraylist
            foreach ($parameterName in $PSBoundParameters.BoundPositionally)
            {
                $null = $positionalArguments.Add( $PSBoundParameters[$parameterName] )
                $null = $PSBoundParameters.Remove($parameterName)
            }
            $positionalArguments.AddRange($args)

            $clientSideParameters = Get-PSImplicitRemotingClientSideParameters $PSBoundParameters $False

            $scriptCmd = { & $script:InvokeCommand `
                            @clientSideParameters `
                            -HideComputerName `
                            -Session (Get-PSImplicitRemotingSession -CommandName 'Add-AvailabilityAddressSpace') `
                            -Arg ('Add-AvailabilityAddressSpace', $PSBoundParameters, $positionalArguments) `
                            -Script { param($name, $boundParams, $unboundParams) & $name @boundParams @unboundParams } `
                         }

            $steppablePipeline = $scriptCmd.GetSteppablePipeline($myInvocation.CommandOrigin)
            $steppablePipeline.Begin($myInvocation.ExpectingInput, $ExecutionContext)
        } catch {
            throw
        }
    }
    Process { 
    try {
        $steppablePipeline.Process($_)
    } catch {
        throw
    }
 }
    End { 
    try {
        $steppablePipeline.End()
    } catch {
        throw
    }
 }

    # .ForwardHelpTargetName Add-AvailabilityAddressSpace
    # .ForwardHelpCategory Function
    # .RemoteHelpRunspace PSSession
","None",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.Management.Automation.PSTypeName]","Add-AvailabilityAddressSpace","Function","Public","tmp_uarpksz0.scq","tmp_uarpksz0.scq","PowerShell","System.Collections.Generic.Dictionary`2[System.String,System.Management.Automation.ParameterMetadata]","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Management.Automation.CommandParameterSetInfo]"
"",,,,,"","None",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.Management.Automation.PSTypeName]","Add-BitLockerKeyProtector","Function","Public","BitLocker","BitLocker","PowerShell","System.Collections.Generic.Dictionary`2[System.String,System.Management.Automation.ParameterMetadata]","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Management.Automation.CommandParameterSetInfo]"
"",,,,,"
    param(
    
    [Alias('ea')]
    ${ErrorAction},

    [Alias('vb')]
    [switch]
    ${Verbose},

    [Alias('ov')]
    ${OutVariable},

    [Alias('wv')]
    ${WarningVariable},

    [Alias('db')]
    [switch]
    ${Debug},

    [Alias('cf')]
    [switch]
    ${Confirm},

    [Alias('ev')]
    ${ErrorVariable},

    ${Identity},

    [Alias('ob')]
    ${OutBuffer},

    [Alias('wa')]
    ${WarningAction},

    [switch]
    ${BypassSecurityGroupManagerCheck},

    ${Member},

    [Alias('wi')]
    [switch]
    ${WhatIf},

    [switch]
    ${AsJob})

    Begin {
        try {
            $positionalArguments = & $script:NewObject collections.arraylist
            foreach ($parameterName in $PSBoundParameters.BoundPositionally)
            {
                $null = $positionalArguments.Add( $PSBoundParameters[$parameterName] )
                $null = $PSBoundParameters.Remove($parameterName)
            }
            $positionalArguments.AddRange($args)

            $clientSideParameters = Get-PSImplicitRemotingClientSideParameters $PSBoundParameters $False

            $scriptCmd = { & $script:InvokeCommand `
                            @clientSideParameters `
                            -HideComputerName `
                            -Session (Get-PSImplicitRemotingSession -CommandName 'Add-DistributionGroupMember') `
                            -Arg ('Add-DistributionGroupMember', $PSBoundParameters, $positionalArguments) `
                            -Script { param($name, $boundParams, $unboundParams) & $name @boundParams @unboundParams } `
                         }

            $steppablePipeline = $scriptCmd.GetSteppablePipeline($myInvocation.CommandOrigin)
            $steppablePipeline.Begin($myInvocation.ExpectingInput, $ExecutionContext)
        } catch {
            throw
        }
    }
    Process { 
    try {
        $steppablePipeline.Process($_)
    } catch {
        throw
    }
 }
    End { 
    try {
        $steppablePipeline.End()
    } catch {
        throw
    }
 }

    # .ForwardHelpTargetName Add-DistributionGroupMember
    # .ForwardHelpCategory Function
    # .RemoteHelpRunspace PSSession
","None",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.Management.Automation.PSTypeName]","Add-DistributionGroupMember","Function","Public","tmp_uarpksz0.scq","tmp_uarpksz0.scq","PowerShell","System.Collections.Generic.Dictionary`2[System.String,System.Management.Automation.ParameterMetadata]","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Management.Automation.CommandParameterSetInfo]"
